TOTAL LAP,'00:04:18.07
BEST LAP,'00:04:18.07
AVERAGE LAP,'00:04:18.07
LAP,LAP TIME,REC TIME,ST(%),TH(%),RPM,VOLT(V),TMP1(deg C),TMP2(deg C),
L000,'00:00:00.00,'00:00:00.00, 034, 051,00000,005.04,255.0,255.0
,,'00:00:00.05, 039, 080,00000,005.04,255.0,255.0
,,'00:00:00.10, 040, 099,00000,005.04,255.0,255.0
,,'00:00:00.15, 040, 100,00000,005.04,255.0,255.0
,,'00:00:00.20, 040, 100,00000,005.04,255.0,255.0
,,'00:00:00.25, 041, 100,00000,005.04,255.0,255.0
,,'00:00:00.30, 040, 100,00000,005.04,255.0,255.0
,,'00:00:00.35, 033, 100,00000,005.04,255.0,255.0
,,'00:00:00.40, 023, 100,00000,005.04,255.0,255.0
,,'00:00:00.45, 018, 100,00000,005.04,255.0,255.0
,,'00:00:00.50, 018, 100,00000,005.04,255.0,255.0
,,'00:00:00.55, 018, 100,00000,005.04,255.0,255.0
,,'00:00:00.60, 013, 100,00000,005.04,255.0,255.0
,,'00:00:00.65,-000, 100,00000,005.04,255.0,255.0
,,'00:00:00.70,-000, 100,00000,005.04,255.0,255.0
,,'00:00:00.75,-000, 100,00000,005.04,255.0,255.0
,,'00:00:00.80,-000, 100,00000,005.04,255.0,255.0
,,'00:00:00.85,-000, 100,00000,005.04,255.0,255.0
,,'00:00:00.90,-000, 100,00000,005.04,255.0,255.0
,,'00:00:00.95,-000, 100,00000,005.04,255.0,255.0
,,'00:00:01.00,-000, 100,00000,005.04,255.0,255.0
,,'00:00:01.05,-002, 100,00000,005.04,255.0,255.0
,,'00:00:01.10,-002, 100,00000,005.04,255.0,255.0
,,'00:00:01.15,-002, 100,00000,005.04,255.0,255.0
,,'00:00:01.20,-000, 078,00000,005.04,255.0,255.0
,,'00:00:01.25,-000, 007,00000,005.04,255.0,255.0
,,'00:00:01.30,-001, 002,00000,005.04,255.0,255.0
,,'00:00:01.35,-002,-000,00000,005.04,255.0,255.0
,,'00:00:01.40,-002,-036,00000,005.04,255.0,255.0
,,'00:00:01.45,-002,-100,00000,005.04,255.0,255.0
,,'00:00:01.50,-002,-100,00000,005.04,255.0,255.0
,,'00:00:01.55,-000,-100,00000,005.04,255.0,255.0
,,'00:00:01.60,-000,-100,00000,005.04,255.0,255.0
,,'00:00:01.65, 002,-100,00000,005.04,255.0,255.0
,,'00:00:01.70, 006,-100,00000,005.04,255.0,255.0
,,'00:00:01.75, 020,-100,00000,005.04,255.0,255.0
,,'00:00:01.80, 045,-074,00000,005.04,255.0,255.0
,,'00:00:01.85, 068,-068,00000,005.04,255.0,255.0
,,'00:00:01.90, 096,-037,00000,005.04,255.0,255.0
,,'00:00:01.95, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.00, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.05, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.10, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.15, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.20, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.25, 100,-000,00000,005.04,255.0,255.0
,,'00:00:02.30, 090,-000,00000,005.04,255.0,255.0
,,'00:00:02.35,-019,-000,00000,005.04,255.0,255.0
,,'00:00:02.40,-014,-000,00000,005.04,255.0,255.0
,,'00:00:02.45,-000,-000,00000,005.04,255.0,255.0
,,'00:00:02.50, 007,-000,00000,005.04,255.0,255.0
,,'00:00:02.55, 002,-000,00000,005.04,255.0,255.0
,,'00:00:02.60,-000,-000,00000,005.04,255.0,255.0
